GeneSymbol,MedianRank,N_Datasets,Up_Count,Down_Count,Direction,AllRanks
ALX4,0.6435822901007008,2,2,0,Up,"0.77,0.52"
DIO2,0.6431912010144407,4,3,1,Up,"0.61,0.68,-3.68,1.59"
YIPF1,0.6431844914912355,4,2,2,Down,"-1.24,2.53,3.04,-2.13"
C1QTNF1,0.6430836782222065,4,3,1,Up,"-0.03,0.28,1.44,1.01"
IGFN1,0.6425853251788173,2,2,0,Up,"1.26,0.02"
FAM45A,0.6424443230191693,3,2,1,Up,"1.05,-2.63,0.64"
POU4F1,0.6421514948738791,3,3,0,Up,"0.21,0.64,1.56"
PGGT1B,0.6420512881709566,4,3,1,Up,"3.53,0.03,1.25,-1.40"
LOC102554740,0.6417530241152751,2,1,1,Down,"-0.91,2.19"
USHBP1,0.641632478371436,2,2,0,Up,"0.05,1.23"
APOA5,0.6412718449725645,3,2,1,Up,"0.71,0.64,-0.41"
POC1A,0.6408208561619542,4,3,1,Up,"-0.38,0.25,3.54,1.03"
LOC100911740,0.6405838227160403,2,1,1,Down,"-0.81,2.09"
ABHD17B,0.640377428061857,4,4,0,Up,"0.53,0.52,0.76,1.62"
OR9Q2,0.6402522369892031,2,2,0,Up,"1.05,0.23"
MST1,0.6402206722136271,3,2,1,Up,"0.64,-0.15,0.97"
VPS37C,0.640064526306036,2,2,0,Up,"0.84,0.44"
PKP3,0.639725493420618,4,3,1,Up,"9.60,0.80,-0.37,0.48"
IFT52,0.6393951701495192,4,3,1,Up,"-1.55,1.02,1.43,0.26"
FZD6,0.6393436563233874,4,3,1,Up,"0.23,-0.10,4.40,1.04"
DSN1,0.6392496048467156,4,2,1,Up,"-0.00,1.28,3.48,-0.26"
PTS,0.6389182079711758,4,3,1,Up,"-1.10,0.66,3.13,0.62"
ACADVL,0.6388244011039848,4,3,1,Up,"0.25,1.03,3.27,-0.05"
TWIST2,0.6384685576658392,3,3,0,Up,"0.04,0.90,0.64"
PERM1,0.6374768090522608,3,3,0,Up,"0.18,1.19,0.64"
CCHCR1,0.6371860762989592,4,3,1,Up,"2.46,-0.02,0.44,0.83"
UNK,0.637002383939957,4,3,1,Up,"0.02,-0.63,2.47,1.25"
WISP1,0.6366958032947596,3,3,0,Up,"3.14,0.61,0.64"
MED23,0.6362746373650546,4,3,1,Up,"0.33,2.50,0.94,-0.85"
CAR3,0.6362152701898437,3,3,0,Up,"0.73,0.45,0.64"
MED14,0.6359369988872067,3,2,1,Up,"-3.25,3.59,0.64"
PHAX,0.6355447862221041,4,3,1,Up,"0.05,1.22,-0.22,1.40"
LNX2,0.6354973151002383,4,4,0,Up,"0.36,0.84,3.61,0.43"
LOC100911453 /// WDR77,0.635372708017998,2,1,1,Down,"-1.20,2.47"
EEPD1,0.6353693233543166,4,3,1,Up,"0.63,0.64,1.57,-2.08"
ADAT1,0.6350633911533937,2,1,1,Down,"1.35,-0.08"
TCHP,0.6347027554952998,4,3,1,Up,"0.97,0.30,3.81,-3.32"
NMRK2,0.6345173622778564,4,2,2,Down,"6.50,-0.40,-1.11,1.67"
ARTN,0.6341531661013948,2,2,0,Up,"0.56,0.71"
IGSF9,0.6336337110297456,4,3,1,Up,"3.90,1.03,-0.67,0.23"
LAMP1,0.6332322681392923,4,3,1,Up,"-0.34,0.15,7.56,1.12"
TRIP13,0.6330732776831869,2,1,1,Down,"1.35,-0.09"
FAM72A,0.6326908377538885,3,3,0,Up,"0.63,5.81,0.27"
PPP2R2D,0.6322973058627644,4,3,1,Up,"0.47,0.80,-0.25,0.79"
NFKBIL1,0.6320826470661454,4,4,0,Up,"0.68,1.38,0.58,0.07"
CNPY3,0.631778165158615,4,2,2,Down,"-3.94,1.36,4.65,-0.10"
USP50,0.6316876376899966,2,1,1,Down,"1.27,-0.01"
LPCAT1,0.6314960732794895,4,3,1,Up,"0.65,0.61,-0.46,1.03"
FAH,0.6314390769976748,4,2,2,Down,"-0.14,1.40,1.76,-3.20"
DNMBP,0.6314177662821934,4,4,0,Up,"3.50,0.13,0.95,0.31"
CLCA4,0.6310614626326936,3,3,0,Up,"0.63,1.28,0.06"
GDAP1L1,0.6302080565789676,2,2,0,Up,"0.23,1.03"
MUL1,0.630088497232038,2,2,0,Up,"0.91,0.35"
VWCE,0.6298042633966957,2,2,0,Up,"1.02,0.24"
PSMB1,0.6297956823392705,4,2,2,Down,"-1.09,-3.12,3.53,2.35"
SOX15,0.6294590219737678,3,3,0,Up,"0.63,0.73,0.26"
NFATC4,0.6292873189401627,4,3,1,Up,"0.47,-0.18,0.79,1.92"
FNDC9,0.6292221472817778,2,1,1,Down,"1.47,-0.21"
CYYR1,0.6291235176232303,4,3,1,Up,"5.08,0.70,0.56,-1.66"
PDS5A,0.6290984786023608,2,1,1,Down,"1.27,-0.01"
RANBP2,0.628881974422991,4,3,1,Up,"1.53,0.29,-1.95,0.97"
TBC1D14,0.6288819273518025,4,2,2,Down,"-0.69,1.58,-0.13,1.39"
TMEM70,0.6285605440558122,2,1,1,Down,"-0.40,1.66"
FANCI,0.6282659880039214,2,2,0,Up,"0.76,0.50"
CHURC1,0.6281080922269786,4,3,1,Up,"-0.41,0.32,2.65,0.93"
LOC100364832 /// LOC102551046 /// LOC102557205 /// LOC102557219 /// PHF11 /// PHF11B /// SETDB2,0.6278940278812207,2,1,1,Down,"1.73,-0.47"
TRMT2A,0.6271938983235911,4,3,1,Up,"0.16,-0.16,1.98,1.10"
CCDC158,0.6270467389265009,4,4,0,Up,"0.70,2.44,0.56,0.03"
SFR1,0.627000313362393,4,2,2,Down,"-0.46,-0.93,3.74,1.72"
RBMY1A1,0.6269858452138879,2,2,0,Up,"1.15,0.10"
SEMG1,0.6256429736899852,3,2,1,Up,"0.94,-0.02,0.63"
APOM,0.6254548993074701,4,2,2,Down,"1.27,-0.68,1.74,-0.02"
SLC35B1,0.6254410943550927,4,3,1,Up,"0.51,-1.36,0.74,2.83"
PEX2,0.6253543560004962,4,3,1,Up,"0.26,-0.71,3.57,1.00"
PRPF6,0.6249887640164904,4,4,0,Up,"0.57,0.11,0.68,0.84"
LOC102547184,0.6247763606494253,2,2,0,Up,"0.12,1.13"
SCRIB,0.6245884847105471,4,3,1,Up,"0.23,2.97,1.02,-0.51"
CCDC3,0.6244043688055425,4,3,1,Up,"0.53,-1.39,4.36,0.72"
SAP30BP,0.6235169166086657,4,3,1,Up,"0.59,0.66,-2.68,1.77"
ARID3A,0.6234325267266909,4,4,0,Up,"0.40,3.79,0.22,0.84"
PDHA2,0.6230534530485978,3,3,0,Up,"0.13,0.62,1.63"
LY49S7,0.6219033956909434,2,1,1,Down,"1.46,-0.21"
JAM3,0.6213891763156825,4,4,0,Up,"0.96,0.84,0.18,0.40"
SIAH1,0.6207435196413977,3,2,1,Up,"0.62,-1.32,2.27"
HIATL1,0.6206593539560022,3,2,1,Up,"-0.15,4.77,0.62"
CCM2L,0.620269127410317,2,1,1,Down,"1.40,-0.16"
TOLLIP,0.62000677118372,4,3,1,Up,"0.18,1.06,-3.19,2.06"
GBA,0.6196068711074442,3,2,1,Up,"0.62,4.18,-2.33"
KRT13,0.6195748402381956,3,2,1,Up,"-0.76,0.62,0.63"
TFAP2A,0.6193808379233962,3,2,1,Up,"-0.96,3.85,0.62"
HIST2H2AA3 /// LOC690131,0.6193215268208331,2,2,0,Up,"1.03,0.21"
EXOC3L4,0.61896713602239,4,3,1,Up,"-0.37,1.61,0.71,0.53"
ZW10,0.6189471021902392,4,3,1,Up,"1.16,-0.36,0.36,0.87"
RAD54L2,0.6186362368212206,3,2,1,Up,"2.97,-0.73,0.62"
RIPPLY3,0.6183037723102439,4,3,1,Up,"4.01,0.01,1.23,-0.20"
TULP3,0.6178729815676103,4,2,2,Down,"1.86,-0.08,1.31,-0.45"
WBP11,0.6177593702300006,2,1,1,Down,"1.32,-0.08"
UGGT1,0.6171680910677545,4,3,1,Up,"-0.44,5.11,0.10,1.14"
VPS13C,0.6171018405188806,4,3,1,Up,"-1.47,0.71,3.32,0.52"
SPTA1,0.6170348735044032,3,3,0,Up,"3.46,0.62,0.30"
RASSF2,0.6165898793724711,4,2,2,Down,"-0.43,6.91,1.67,-2.28"
LPAR4,0.6163736066157072,4,3,1,Up,"0.26,0.97,2.04,-5.15"
PPRC1,0.6161928703242262,4,3,1,Up,"0.91,-3.76,0.32,4.85"
EMC8,0.6160680630617581,4,3,1,Up,"0.14,-0.85,1.09,2.63"
RB1,0.6160650057650278,4,4,0,Up,"1.81,0.04,1.19,0.03"
YTHDC1,0.6159849488204344,4,2,2,Down,"3.44,1.27,-0.18,-0.04"
KATNA1,0.6157756459810784,4,3,1,Up,"0.20,-0.44,1.03,1.25"
EMC3,0.6155679593262492,3,3,0,Up,"0.15,0.62,2.37"
ZBTB6,0.6155491100158508,4,3,1,Up,"1.22,0.43,-1.28,0.80"
ADAT2,0.6148467573759975,2,2,0,Up,"1.00,0.23"
CCDC23,0.6147194689302755,3,2,1,Up,"-0.43,3.92,0.61"
NHEJ1,0.614543994338296,4,4,0,Up,"0.09,0.21,1.67,1.02"
FAM178B,0.6143309412717644,3,2,1,Up,"-0.10,0.61,0.78"
DAZAP2,0.6139990358442877,4,3,1,Up,"0.20,-0.07,3.80,1.03"
PHLDB2,0.6138344758465529,4,3,1,Up,"1.07,0.16,1.73,-1.65"
UFM1,0.6130515416304634,4,4,0,Up,"0.03,0.07,1.15,1.85"
LOC100365008,0.6129506638199842,2,2,0,Up,"0.91,0.32"
EXOSC3,0.6121586456552446,4,3,1,Up,"0.08,-0.59,1.15,3.61"
LOC681754 /// LOC688869,0.6119493586855876,2,2,0,Up,"0.23,0.99"
LOC102553760,0.6114282073766106,2,1,1,Down,"-0.19,1.41"
TXNDC12,0.6111197763105588,4,2,2,Down,"-0.31,-2.93,2.42,1.53"
MCFD2,0.6111170400760289,4,3,1,Up,"-0.26,0.47,0.75,2.18"
PNPLA8,0.6109390116057355,4,2,2,Down,"-0.18,1.40,-2.80,2.23"
PREB,0.6107609463889043,4,3,1,Up,"0.93,-0.14,0.79,0.43"
CCNG2,0.6107197560712977,4,2,2,Down,"-0.20,1.42,2.92,-3.40"
LYPD8,0.6102114709113365,2,2,0,Up,"0.34,0.88"
RHEX,0.610109431723339,2,2,0,Up,"0.26,0.96"
B3GNT6,0.6100518257383941,2,2,0,Up,"0.96,0.26"
NSUN3,0.6094140200035063,2,2,0,Up,"0.64,0.58"
PRPF4,0.609156942281663,4,4,0,Up,"0.59,0.27,0.63,1.38"
LDHD,0.6088883243046447,4,2,2,Down,"-0.39,1.61,1.83,-1.50"
CD59,0.6088759505151347,3,3,0,Up,"1.87,0.17,0.61"
GPR149,0.6087871863752025,4,2,2,Down,"-0.05,1.96,1.27,-6.27"
LOC100911962,0.6083121746164494,2,2,0,Up,"1.05,0.17"
LOC102553264,0.6081986443798465,2,2,0,Up,"0.09,1.13"
VPS54,0.608054254772142,4,3,1,Up,"0.76,0.46,3.56,-0.61"
COX6C-PS1,0.6079417768483089,2,1,1,Down,"-0.18,1.40"
DOCK6,0.6076299217569929,4,4,0,Up,"0.05,0.58,5.10,0.63"
TIE1,0.6075831294679948,4,3,1,Up,"0.49,-0.28,6.63,0.73"
SERPINB11,0.607505919280991,3,2,1,Up,"-0.46,2.22,0.61"
TDRD6,0.6072921164010187,2,2,0,Up,"0.91,0.30"
RGD1564036,0.6071825423171474,2,1,1,Down,"1.46,-0.25"
STAM,0.6071375700505917,2,2,0,Up,"1.18,0.03"
TSPAN4,0.6064062241010914,2,1,1,Down,"2.17,-0.96"
AP5M1,0.606406045741991,4,4,0,Up,"0.09,1.12,1.37,0.07"
KDM5C,0.6059375256678954,4,3,1,Up,"1.28,0.41,0.80,-0.75"
NDP,0.6058811419219392,2,2,0,Up,"0.33,0.88"
RGD1306233,0.6053510466293504,2,1,1,Down,"-0.61,1.82"
CWH43,0.6052668609776419,4,4,0,Up,"0.34,0.01,0.87,1.24"
KDM1B,0.6051105118190084,4,3,1,Up,"0.60,2.14,0.61,-1.61"
AP1G1,0.6047228548434911,4,3,1,Up,"0.36,2.37,-0.38,0.85"
LOC100911506,0.6040887241360222,2,1,1,Down,"1.29,-0.08"
KDM4A,0.6038834134587038,2,2,0,Up,"0.13,1.08"
DPH5,0.6038049594540926,5,3,2,Up,"0.60,-3.36,1.76,-0.98,1.06"
XPC,0.603746780623703,4,3,1,Up,"0.27,0.94,0.99,-0.24"
SMIM5,0.6035135608969436,3,2,1,Up,"0.99,0.60,-4.51"
FAM3B,0.6034675695599312,3,2,1,Up,"-0.04,1.29,0.60"
LRTM1,0.6032748318282649,2,1,1,Down,"1.49,-0.28"
CPM,0.6029766793135236,4,4,0,Up,"0.12,0.43,0.78,2.33"
NIT2,0.6027833020967596,4,3,1,Up,"0.29,-2.36,5.21,0.92"
RGD1563354,0.6027520766043949,2,1,1,Down,"1.22,-0.01"
GRAP2,0.6026728717411871,3,2,1,Up,"0.76,-0.17,0.60"
CHRNA1,0.6020898306139032,4,2,2,Down,"1.33,1.51,-1.51,-0.12"
PDGFRB,0.6020353391871237,4,2,2,Down,"1.39,-0.80,4.62,-0.19"
RASA1,0.601615789730946,4,3,1,Up,"0.25,0.95,-1.49,2.13"
GDNF,0.6014202051705984,4,3,1,Up,"0.61,1.62,-1.29,0.59"
RFX7,0.6012797757146116,3,2,1,Up,"0.60,3.60,-1.95"
CASK,0.60037455549122,4,2,2,Down,"-0.16,-4.07,3.06,1.36"
NKX6-2,0.599959273777585,4,3,1,Up,"1.93,0.56,0.64,-0.05"
MTHFR,0.5998382646176396,4,2,2,Down,"3.78,-2.23,3.04,-1.84"
CENPT,0.5997214373658064,4,3,1,Up,"0.14,-0.99,5.54,1.06"
VRK1,0.5993555930964728,4,2,2,Down,"-0.10,-0.02,4.64,1.21"
LOC100911774 /// TBCB,0.5993067576638172,2,1,1,Down,"-0.93,2.13"
B3GNTL1,0.5989614560569282,3,3,0,Up,"0.94,0.15,0.60"
PUS10,0.5987301446862618,2,1,1,Down,"2.79,-1.59"
MORC4,0.5982511618093016,4,3,1,Up,"11.26,-0.22,0.83,0.36"
STK26,0.5980620021481549,2,1,1,Down,"-0.38,1.58"
PPIH,0.5980197276015835,4,3,1,Up,"0.14,-11.92,1.72,1.05"
INIP,0.5977335742427636,4,4,0,Up,"0.65,0.55,3.89,0.13"
LOC102550354,0.5974261375597617,2,2,0,Up,"0.98,0.21"
PPM1G,0.597301178474606,4,2,2,Down,"-0.51,-2.48,2.31,1.70"
MS4A7,0.5972887479416829,4,3,0,Up,"0.00,0.09,2.20,1.10"
LOC690155,0.5971399844279901,2,1,1,Down,"1.88,-0.68"
RXFP3,0.5969422256073307,2,2,0,Up,"0.50,0.69"
PLAT,0.596887041309958,2,1,1,Down,"1.79,-0.60"
CHRDL1,0.5968097513501938,4,3,1,Up,"0.64,0.67,0.55,-0.71"
ASB2 /// LOC100909439,0.5966866294253415,2,1,1,Down,"3.67,-2.47"
LDB1,0.596259926401807,4,3,1,Up,"-0.06,0.06,2.93,1.13"
PRPF3,0.5959412307408182,4,2,2,Down,"2.71,-3.98,-0.27,1.47"
RCOR3,0.5941831466940217,4,3,1,Up,"1.23,1.08,-1.78,0.11"
CTSA,0.5940416165486845,4,4,0,Up,"0.00,0.56,7.88,0.63"
MIR351,0.5939401610863595,2,1,1,Down,"1.47,-0.29"
NAT10,0.5923789380989546,4,3,1,Up,"1.33,-3.37,0.50,0.69"
GBE1,0.5920400707353755,4,3,1,Up,"0.81,3.59,0.38,-0.98"
CDH17,0.5915313527064782,3,2,1,Up,"-0.55,1.50,0.59"
HDX,0.5912397753146139,2,2,0,Up,"1.10,0.08"
LOC679368,0.591060196032136,2,2,0,Up,"0.74,0.44"
SERPINA1,0.5903287521346628,3,2,1,Up,"5.57,-0.02,0.59"
LOC687565,0.5901409702918903,2,1,1,Down,"-0.27,1.45"
AHRR,0.5899583418982492,4,3,1,Up,"0.87,1.43,-0.98,0.31"
SNX24,0.5898800113101388,4,3,1,Up,"0.02,-0.13,1.16,3.46"
CCNG1,0.5892123292092641,4,2,2,Down,"1.58,-0.40,-0.61,2.29"
PARP2,0.5887852941890533,4,3,1,Up,"0.28,-4.02,5.90,0.90"
BHLHE41,0.5886944137886477,4,3,1,Up,"1.13,0.05,7.25,-0.67"
CIZ1,0.5886488841226394,4,2,2,Down,"1.21,-0.03,-0.25,1.37"
SLC18A3,0.5885699457549904,3,2,1,Up,"0.59,-2.28,1.65"
TDRD5,0.5884402929637493,2,2,0,Up,"0.57,0.61"
VAPA,0.5882088884623019,4,2,2,Down,"-0.12,1.30,-0.30,2.61"
PLK1,0.5881889541299997,4,4,0,Up,"0.41,0.77,5.48,0.05"
PDP1,0.5880009947939289,4,3,1,Up,"0.10,1.07,-6.19,1.35"
ZDHHC6,0.5879442296653958,4,3,1,Up,"0.00,-2.48,5.22,1.18"
FZD5,0.5878762941369045,4,3,1,Up,"4.50,0.47,-0.98,0.70"
GLO1,0.5874082552460472,4,2,2,Down,"-1.27,-4.43,5.48,2.45"
ATP11C,0.5862248704767423,4,3,1,Up,"0.74,2.45,0.44,-1.73"
NFX1,0.5859488403984935,4,3,1,Up,"1.00,-7.12,0.17,1.74"
UBE2W,0.5858029592652477,2,2,0,Up,"0.10,1.07"
CDK14,0.5857892278951287,4,2,2,Down,"-2.16,4.02,-6.45,3.33"
TULP2,0.5853451528097006,4,3,1,Up,"1.81,0.09,-1.73,1.08"
NPFFR1,0.5853356286319418,4,3,1,Up,"0.80,-0.31,0.37,1.19"
TRAT1,0.5852119206275338,4,3,1,Up,"1.51,-0.23,1.12,0.05"
DGAT2L6,0.5851454198011998,2,1,1,Down,"1.50,-0.33"
PRPF39,0.5847391856565407,4,3,1,Up,"4.04,0.67,0.50,-1.34"
TXLNA,0.584460693635152,4,3,1,Up,"0.04,-3.64,1.13,1.62"
NVL,0.5843865141861766,4,3,1,Up,"1.08,-5.25,3.24,0.09"
MFAP2,0.583971767613212,4,4,0,Up,"0.05,1.04,5.65,0.13"
UEVLD,0.5837252771280432,2,1,1,Down,"-0.30,1.47"
MARCH5,0.5835227438257415,3,2,1,Up,"-4.58,0.58,2.82"
TTI2,0.5828677919726017,4,3,1,Up,"1.15,0.31,-0.52,0.86"
RET,0.582799000491114,4,3,1,Up,"0.17,0.99,-0.92,6.15"
ABCC4,0.5827075144293768,4,3,1,Up,"-0.20,1.11,3.27,0.05"
IPPK,0.5824988292762489,2,1,1,Down,"1.92,-0.75"
TAF5L,0.5821221179075828,2,2,0,Up,"0.58,0.59"
SLC16A13,0.5821011452742899,4,2,2,Down,"2.37,-0.14,1.30,-0.62"
TNK1,0.5819608923339007,2,1,1,Down,"1.29,-0.13"
DPY30,0.5813037327788458,4,2,2,Down,"-1.16,-1.00,3.65,2.16"
TMEM200B,0.5812710976313773,2,1,1,Down,"-0.08,1.25"
RGD1307704,0.5811349837264875,2,2,0,Up,"0.80,0.36"
NPLOC4,0.5811309787344174,4,2,2,Down,"1.75,-0.58,-1.85,3.64"
HS3ST3A1,0.5809419190589025,2,1,1,Down,"-0.21,1.37"
SLC39A11,0.5805671523838035,4,3,1,Up,"-2.62,0.37,2.25,0.80"
HAUS2,0.5803691997236524,2,2,0,Up,"0.88,0.28"
TCEAL8,0.5802311031310577,4,2,2,Down,"-1.08,-3.58,2.24,2.38"
ATF4,0.5800149982401335,4,2,2,Down,"1.66,-0.50,-3.74,4.80"
S100A16,0.5799129564736044,4,3,1,Up,"0.56,-0.37,0.60,3.24"
MEGF10,0.5798701376853599,2,2,0,Up,"0.61,0.55"
VSIG10L,0.5798670315289853,3,2,1,Up,"1.39,0.58,-0.09"
SLC47A1,0.5798409682636416,4,3,1,Up,"-0.92,0.22,2.40,0.94"
GRASP,0.5791401963320565,3,2,1,Up,"0.58,-4.28,2.06"
MRGPRX3,0.5789029079157465,3,2,1,Up,"0.58,6.48,-0.18"
TP53I13,0.5787499097688642,3,2,1,Up,"-0.62,4.65,0.58"
TOB2,0.578604288768862,4,3,1,Up,"1.66,0.19,0.96,-1.51"
PRRC2A,0.5782535777710092,4,2,2,Down,"-0.06,1.22,-1.53,1.30"
LOC100910528 /// MRPL36,0.5781375049877164,2,2,0,Up,"0.94,0.21"
PSMC3IP,0.5779558592686938,4,4,0,Up,"0.58,0.33,1.87,0.58"
MGAT1,0.5779430966863536,4,3,1,Up,"-1.16,0.99,3.16,0.16"
SPOCD1,0.5770036703483735,2,1,0,Up,"0.00,1.15"
ZNHIT6,0.5769991727775923,4,3,1,Up,"0.16,-5.25,0.99,3.32"
LOC100909916 /// LOC100910519 /// RGD1564492 /// TRAPPC2L,0.5767232753736625,2,1,1,Down,"1.22,-0.06"
APOB,0.5767144959525431,3,3,0,Up,"0.58,0.73,0.28"
MARC1,0.5765260203202207,3,2,1,Up,"-2.08,0.58,0.76"
UBE2A,0.5764756170534242,4,2,2,Down,"-0.23,-0.85,1.38,3.41"
CANT1,0.5763909830842404,4,2,2,Down,"-2.11,2.27,3.50,-1.12"
GPR157,0.5761631613074837,2,1,1,Down,"1.29,-0.13"
SPRR1A,0.5759842383423383,3,2,1,Up,"0.58,-1.02,4.10"
LHX6,0.5759708642685686,2,1,1,Down,"-0.25,1.40"
IGFBP1,0.5751991752101592,3,2,1,Up,"0.58,-0.57,0.64"
ZFYVE1,0.575080388146659,4,3,1,Up,"0.03,2.22,-0.60,1.12"
RPS6KA4,0.5745126093440482,4,3,1,Up,"-3.24,0.40,1.51,0.75"
STRN3,0.574085378465337,4,3,1,Up,"0.48,0.67,-0.95,3.46"
SIDT2,0.5740626438979778,4,2,2,Down,"-0.11,1.26,4.36,-0.72"
DNAJC17,0.5737709517637631,4,2,2,Down,"-0.29,-1.11,1.44,1.74"
INHBA,0.5736131472172513,4,3,1,Up,"0.79,0.36,-4.30,3.88"
LEKR1,0.5734892311475794,2,2,0,Up,"0.87,0.28"
GNMT,0.5733571616357638,4,4,0,Up,"1.67,1.02,0.13,0.10"
P2RY14,0.573265609172161,4,3,1,Up,"0.22,0.93,6.55,-1.31"
ST8SIA2,0.5731827722223751,4,4,0,Up,"1.18,1.00,0.14,0.11"
OPA1,0.5729725426456987,4,2,2,Down,"-0.69,-0.60,1.75,2.09"
IL17RB,0.5729539335424413,2,1,1,Down,"1.38,-0.23"
INCA1,0.5727447911116754,2,2,0,Up,"0.19,0.96"
RBM27,0.5727033977608501,3,2,1,Up,"0.57,-2.49,3.53"
G2E3,0.5724773795940156,4,4,0,Up,"1.09,0.58,0.03,0.57"
ANXA13,0.5722143593174501,2,2,0,Up,"0.27,0.88"
STRAP,0.5721723186459095,2,2,0,Up,"0.69,0.45"
ARFGEF2,0.5720976956299074,4,2,2,Down,"-0.15,-0.12,2.45,1.26"
MFSD11,0.5719856388914197,4,3,1,Up,"0.82,0.32,4.88,-1.38"
BET1L,0.5716552521709726,4,4,0,Up,"0.32,0.07,0.82,2.19"
MTTP,0.5714450561089714,4,3,1,Up,"0.40,-0.28,0.74,1.59"
POLK,0.5710353390131696,4,3,1,Up,"1.43,0.47,-0.89,0.68"
TREM2,0.5709872200193107,4,3,1,Up,"-0.25,0.34,9.76,0.80"
STK32A,0.5709516498553792,2,2,0,Up,"0.62,0.53"
CLN6,0.5708282395640688,4,3,1,Up,"0.13,1.02,5.68,-1.47"
MMP11,0.5699329791576561,4,2,2,Down,"1.36,-3.37,3.32,-0.22"
SPATA32,0.5696721741284166,2,1,1,Down,"1.59,-0.45"
SEMA3G,0.5694778370085067,4,3,1,Up,"1.01,0.42,0.72,-1.50"
ITGB3BP,0.5692478185601048,4,4,0,Up,"0.40,0.36,4.37,0.73"
SOX10,0.5687385427957157,4,4,0,Up,"1.02,0.59,0.55,0.16"
CSGALNACT2,0.5684430403600793,4,4,0,Up,"0.52,2.92,0.62,0.44"
SLC7A2,0.5683465583539463,4,2,2,Down,"1.93,-0.27,-0.14,1.27"
SOCS1,0.5681889930537127,4,2,2,Down,"1.66,-0.52,-1.19,2.79"
FMO3,0.568123430600365,3,3,0,Up,"0.26,1.65,0.57"
PPP2R3C,0.5679452962185485,4,2,2,Down,"-0.24,1.94,1.37,-0.39"
PHYHD1,0.5675751002210654,4,4,0,Up,"0.24,0.09,2.84,0.89"
ALPL,0.5673152763540477,4,2,2,Down,"-2.94,1.27,-0.13,2.87"
KCNE3,0.5660716931234722,3,2,1,Up,"2.68,-0.74,0.57"
ECI2,0.5658254763223813,4,3,1,Up,"0.92,-7.06,2.70,0.21"
RBBP4,0.5656640906548507,2,2,0,Up,"0.49,0.64"
MBNL1,0.5652943693550615,4,3,1,Up,"0.18,0.95,6.31,-0.80"
LYZL4,0.565114139509547,2,1,1,Down,"1.38,-0.25"
PSAP,0.5650787692898073,4,2,2,Down,"-2.68,1.55,6.66,-0.42"
LOC102553222,0.5648403167724141,2,2,0,Up,"0.10,1.03"
ZUFSP,0.5646593388392179,3,2,1,Up,"0.56,4.04,-1.61"
CAPZA2,0.5643486876999848,4,3,1,Up,"-0.30,2.82,0.43,0.69"
MRPL44,0.5632909583242274,4,3,1,Up,"-0.90,0.21,2.71,0.92"
BAG2,0.563259279454517,3,2,1,Up,"0.56,-2.60,1.93"
SLFNL1,0.56323337736967,2,1,1,Down,"1.87,-0.74"
GXYLT1 /// LOC100912135,0.5624118529447442,2,1,1,Down,"4.21,-3.08"
MAD2L1,0.562301978645195,4,2,2,Down,"-1.14,-0.22,6.79,1.34"
ADPRM,0.5616354101362349,4,2,2,Down,"-0.55,-0.46,1.58,3.14"
RECQL,0.5615457497878396,4,4,0,Up,"0.07,0.61,3.93,0.51"
ATN1,0.5608993957908771,2,1,1,Down,"-0.03,1.15"
NEK3,0.5608617008314791,4,2,2,Down,"-0.03,1.16,1.48,-1.01"
SDK1,0.5604806702043941,4,3,1,Up,"-1.30,0.84,2.34,0.28"
ITIH4,0.5597878383198669,4,3,1,Up,"4.70,0.68,0.44,-1.39"
MASTL,0.5594946265981577,2,2,0,Up,"0.35,0.76"
NPEPO,0.5593769376104697,2,1,1,Down,"-0.62,1.74"
TEKT2,0.5593279633749275,4,3,1,Up,"0.21,-0.08,1.15,0.91"
GART,0.5584101262206964,4,3,1,Up,"0.12,-2.69,1.03,1.00"
LRRC39,0.5583612818976752,4,3,1,Up,"1.52,-0.59,0.52,0.60"
RASIP1,0.5581335020177478,4,3,1,Up,"1.80,0.24,0.88,-0.58"
PLRG1,0.5580831144969589,4,3,1,Up,"0.22,-2.40,0.90,1.12"
LOC689618,0.5580191821424446,2,2,0,Up,"0.21,0.91"
LRP5,0.5578529594645321,4,2,2,Down,"-0.02,-0.95,1.13,1.34"
GAS8,0.5577898236546819,3,2,1,Up,"0.56,-0.52,0.63"
RGD1565002,0.5576129903807258,2,1,1,Down,"1.79,-0.67"
TMC8,0.5575907910748785,4,3,1,Up,"0.50,-1.46,4.43,0.61"
ATP6V1G1,0.5575483978574364,4,2,2,Down,"-0.58,-0.38,3.34,1.49"
HIPK3,0.557194476649655,4,3,1,Up,"0.27,2.70,-3.36,0.84"
TPD52L2,0.5571800185984022,4,3,1,Up,"0.07,1.52,-1.04,1.04"
TMEM167B,0.5569318751898651,2,2,0,Up,"0.72,0.40"
SCT,0.555932235565694,3,2,1,Up,"1.92,-0.44,0.56"
ABCE1,0.5559211405270641,4,3,1,Up,"1.10,-2.15,0.01,4.17"
DNAJC7,0.5556335815617841,4,3,1,Up,"0.12,1.59,-2.10,0.99"
HERPUD1,0.5552027752984524,4,4,0,Up,"0.59,0.04,3.36,0.52"
MSH4,0.5550665534790458,2,1,1,Down,"1.33,-0.22"
LRRC8D,0.5550518828132612,4,4,0,Up,"0.37,0.52,2.32,0.59"
ZNF582,0.5547688128953454,2,1,1,Down,"-0.25,1.36"
